Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
199901   ,4.14  ,-0.05  ,-0.52   ,4.05   ,2.06   ,5.04
199902  ,-7.56  ,-7.52  ,-7.58  ,-0.89  ,-3.32  ,-4.39
199903   ,1.50  ,-0.56   ,1.09   ,5.58   ,5.35   ,2.54
199904   ,8.92   ,9.94   ,8.75   ,7.10   ,4.72   ,3.22
199905   ,0.80   ,1.05   ,2.85  ,-1.31  ,-2.49  ,-2.00
199906   ,6.88   ,5.08   ,5.20   ,2.88   ,4.82   ,5.93
199907  ,-1.55  ,-1.21  ,-0.27  ,-3.78  ,-3.66  ,-2.62
199908  ,-1.93  ,-3.48  ,-3.79  ,-2.11  ,-1.94   ,0.66
199909   ,0.32  ,-0.06  ,-0.36  ,-2.32  ,-1.68  ,-3.41
199910   ,0.43  ,-1.07  ,-1.53   ,7.74   ,8.25   ,5.04
199911   ,8.54   ,3.29   ,6.24   ,4.41   ,1.35   ,3.30
199912  ,14.40   ,6.04   ,8.97  ,12.39   ,6.06   ,6.28
200001   ,2.30  ,-1.99  ,-7.24  ,-2.57  ,-4.19  ,-4.97
200002  ,27.19   ,8.41   ,3.85   ,6.14  ,-0.96  ,-1.25
200003 ,-11.31   ,0.99   ,3.58   ,3.14  ,10.84  ,10.09
200004 ,-12.36  ,-1.79  ,-2.49  ,-6.95  ,-2.09  ,-3.99
200005  ,-6.83  ,-2.28  ,-3.54  ,-5.85  ,-1.11  ,-2.96
200006  ,14.85   ,5.37   ,5.11   ,5.42   ,0.50   ,4.61
200007  ,-7.34   ,0.53   ,2.20  ,-4.37   ,0.85  ,-2.68
200008   ,8.17   ,7.37   ,5.88  ,12.27   ,7.60   ,6.03
200009  ,-6.65  ,-0.56  ,-1.88  ,-7.98  ,-3.17  ,-5.35
200010  ,-9.97  ,-2.38  ,-0.83  ,-8.70  ,-3.26   ,1.88
200011 ,-17.58  ,-4.38  ,-3.70 ,-21.31  ,-8.00  ,-7.19
200012   ,3.85   ,9.88   ,9.43   ,3.17   ,3.76  ,-0.93
200101  ,11.15   ,3.40   ,3.39   ,7.15   ,3.03   ,2.82
200102 ,-12.42  ,-2.71  ,-0.76 ,-15.51 ,-10.47  ,-7.26
200103  ,-7.42  ,-2.90  ,-3.51 ,-11.91  ,-4.78  ,-7.71
200104   ,9.59   ,6.50   ,6.58  ,12.82   ,6.77   ,8.13
200105   ,5.26   ,3.97   ,3.75  ,-0.16   ,1.47   ,0.47
200106   ,1.92   ,2.75   ,2.33  ,-3.15  ,-2.13  ,-1.99
200107  ,-9.32  ,-1.71  ,-1.61  ,-6.38  ,-1.08   ,0.34
200108  ,-6.07  ,-1.54  ,-3.63  ,-9.78  ,-5.98  ,-4.89
200109 ,-15.98 ,-11.87 ,-13.84 ,-12.47  ,-8.50  ,-7.02
200110   ,9.02   ,4.42   ,7.51   ,2.78   ,2.50   ,1.74
200111   ,9.10   ,7.05   ,6.86  ,10.11   ,8.00   ,6.97
200112   ,6.67   ,6.68   ,6.59  ,-0.04   ,2.06   ,1.13
200201  ,-2.72   ,0.03   ,1.81  ,-5.28  ,-1.53  ,-0.07
200202  ,-7.03   ,0.58   ,0.78  ,-6.71  ,-2.09  ,-0.25
200203   ,8.11   ,7.55   ,8.73   ,4.79   ,5.08   ,2.83
200204  ,-2.68   ,3.29   ,2.66  ,-8.05  ,-4.30  ,-6.16
200205  ,-4.24  ,-1.87  ,-2.64  ,-1.46  ,-0.60  ,-0.65
200206  ,-6.60  ,-3.65  ,-4.29 ,-12.86  ,-4.93  ,-7.73
200207 ,-14.84 ,-13.13 ,-12.75 ,-10.06  ,-8.63  ,-5.55
200208  ,-0.81   ,0.89   ,2.36   ,0.32   ,2.46  ,-0.34
200209  ,-9.27  ,-5.67  ,-5.42 ,-11.05 ,-10.16 ,-10.09
200210   ,5.09   ,3.00   ,1.55  ,10.00   ,7.97   ,7.35
200211  ,12.09   ,5.75   ,3.79  ,10.51   ,4.88   ,4.14
200212  ,-7.21  ,-2.35  ,-2.09  ,-8.50  ,-5.77  ,-3.63
200301  ,-1.07  ,-2.13  ,-1.99  ,-0.70  ,-3.62  ,-2.47
200302  ,-2.73  ,-2.47  ,-1.97  ,-2.91  ,-0.25  ,-1.85
200303   ,0.70   ,0.41   ,1.51   ,0.07   ,0.40   ,1.71
200304  ,10.75   ,8.18   ,8.05  ,11.16   ,8.47   ,6.34
200305  ,13.51   ,7.79   ,9.21   ,8.88   ,5.25   ,4.89
200306   ,2.46   ,2.31   ,3.67   ,1.05   ,1.56   ,1.45
200307   ,7.26   ,5.18   ,3.58   ,4.23   ,2.38  ,-0.09
200308   ,6.26   ,4.43   ,3.60   ,3.20   ,2.75   ,1.13
200309  ,-0.20  ,-1.45  ,-0.38  ,-2.86  ,-0.39  ,-0.61
200310   ,9.48   ,8.26   ,9.39   ,7.72   ,5.62   ,4.71
200311   ,3.86   ,3.52   ,3.75   ,1.77   ,1.16   ,1.10
200312   ,2.48   ,2.98   ,3.05   ,5.73   ,4.76   ,4.45
200401   ,6.07   ,1.90   ,2.69   ,4.16   ,1.17   ,1.17
200402   ,0.18   ,2.37   ,2.68   ,0.95   ,1.85   ,1.84
200403   ,0.16   ,1.39   ,2.53  ,-1.63  ,-1.24  ,-1.27
200404  ,-5.88  ,-3.18  ,-2.07  ,-3.91  ,-2.56   ,0.22
200405   ,1.61   ,1.03   ,0.91   ,2.39   ,2.12  ,-0.14
200406   ,2.92   ,4.56   ,5.23   ,2.36   ,2.22   ,1.27
200407  ,-8.44  ,-4.05  ,-2.95  ,-4.96  ,-2.37  ,-3.39
200408  ,-0.94  ,-0.19  ,-1.73  ,-1.12   ,0.50   ,0.91
200409   ,5.55   ,5.44   ,6.30   ,2.90   ,1.81   ,1.05
200410   ,2.01   ,2.33   ,2.90   ,1.42   ,2.47   ,1.01
200411   ,8.12   ,9.03  ,10.00   ,5.89   ,3.30   ,4.46
200412   ,3.79   ,2.56   ,2.91   ,3.89   ,2.79   ,3.99
200501  ,-4.76  ,-2.33  ,-1.00  ,-3.92  ,-2.34  ,-1.40
200502   ,1.93   ,2.75   ,4.09   ,0.67   ,3.29   ,2.40
200503  ,-3.72  ,-1.20  ,-2.06  ,-2.14  ,-0.97  ,-1.22
200504  ,-7.08  ,-5.33  ,-5.95  ,-2.79  ,-1.86  ,-2.38
200505   ,5.56   ,6.17   ,6.00   ,4.94   ,3.05   ,3.09
200506   ,4.02   ,3.83   ,5.48   ,0.05   ,0.98   ,1.06
200507   ,6.63   ,6.41   ,7.00   ,3.81   ,4.02   ,4.08
200508  ,-0.27  ,-1.24  ,-0.17   ,0.50  ,-1.38  ,-0.05
200509   ,1.50   ,0.94   ,2.24   ,0.47   ,1.21   ,1.56
200510  ,-3.89  ,-3.31  ,-4.65  ,-0.49  ,-1.66  ,-3.42
200511   ,5.01   ,4.78   ,5.98   ,4.97   ,4.38   ,3.05
200512   ,0.81  ,-0.19   ,1.31   ,0.50   ,0.46   ,0.30
200601   ,9.81   ,7.83   ,9.53   ,4.00   ,2.18   ,3.82
200602   ,0.06  ,-0.50  ,-2.72  ,-0.35   ,0.98  ,-1.26
200603   ,4.16   ,4.82   ,4.13   ,1.09   ,1.81   ,1.26
