Date,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
199906  ,12.66  ,12.10  ,24.54   ,4.22   ,9.52  ,13.31
199907   ,7.35   ,6.84   ,6.45   ,8.10   ,9.03  ,12.56
199908   ,2.35   ,3.35   ,6.61   ,3.35   ,5.02   ,1.78
199909   ,1.76   ,2.32   ,5.20   ,5.92   ,4.89   ,9.92
199910  ,-0.02  ,-2.38  ,-0.47   ,2.70   ,3.30  ,11.30
199911  ,-4.71  ,-2.44   ,1.18  ,-2.92   ,0.09  ,17.14
199912  ,-7.40  ,-7.36  ,-3.65  ,-4.58   ,1.77   ,9.50
200001   ,0.27  ,-1.02  ,-1.70   ,0.16  ,-4.88  ,-7.11
200002  ,-3.26  ,-3.79   ,1.83  ,-6.97  ,-4.82   ,1.43
200003  ,11.06  ,10.11   ,6.00  ,11.08  ,10.21   ,3.90
200004 ,-11.86 ,-10.23 ,-10.40  ,-5.55  ,-4.52 ,-10.81
200005   ,2.09   ,3.62  ,-1.01  ,-1.31  ,-0.90 ,-12.43
200006  ,11.44  ,12.78  ,10.16   ,7.63   ,7.10   ,4.58
200007 ,-12.45  ,-9.25 ,-11.36 ,-13.63 ,-10.27 ,-11.76
200008   ,8.25   ,5.89   ,7.35  ,10.42   ,5.83   ,5.47
200009  ,-5.58  ,-3.38  ,-6.08  ,-5.47  ,-3.11  ,-4.27
200010 ,-10.68  ,-8.09  ,-9.92  ,-5.06  ,-6.77  ,-7.77
200011   ,2.32   ,0.93  ,-1.25  ,-5.35  ,-1.62  ,-2.16
200012  ,-8.29  ,-7.14  ,-8.68  ,-8.12  ,-5.43 ,-14.09
200101  ,-0.11  ,-1.80   ,0.09   ,1.38  ,-3.38   ,1.57
200102   ,1.41   ,1.56   ,0.28  ,-5.73  ,-4.24  ,-7.51
200103  ,-2.45  ,-3.02  ,-3.62  ,-5.84  ,-3.32  ,-2.96
200104  ,13.81  ,11.13   ,8.28  ,10.21   ,8.54   ,8.27
200105   ,0.66   ,1.32   ,5.36  ,-1.32   ,0.50   ,0.17
200106  ,-1.11  ,-0.84  ,-4.01  ,-5.91  ,-4.91  ,-5.82
200107  ,-7.58  ,-5.86  ,-9.21  ,-7.96  ,-7.03 ,-10.47
200108   ,2.88   ,2.07   ,0.75  ,-0.08  ,-1.73  ,-7.23
200109  ,-9.42  ,-6.51  ,-9.52 ,-11.97  ,-5.64  ,-5.48
200110   ,2.23   ,1.56   ,4.62   ,1.10   ,0.11   ,2.88
200111  ,-6.87  ,-5.10  ,-4.01  ,-1.49  ,-1.32   ,0.65
200112 ,-12.23  ,-9.11 ,-10.64  ,-7.32  ,-7.19  ,-8.12
200201  ,-5.79  ,-5.20  ,-5.37  ,-7.22  ,-8.71  ,-7.12
200202   ,8.08   ,6.65   ,5.20   ,5.54   ,5.10   ,4.39
200203   ,3.26   ,2.78   ,5.77   ,5.39   ,4.50   ,7.87
200204   ,5.58   ,5.58   ,6.00   ,6.68   ,5.73   ,3.88
200205  ,10.75   ,8.65   ,9.14   ,7.26   ,7.29   ,5.85
200206  ,-3.24  ,-2.32  ,-2.36  ,-4.73  ,-4.10  ,-5.16
200207  ,-1.20  ,-1.39  ,-3.00  ,-5.11  ,-7.42  ,-6.51
200208  ,-1.45  ,-0.45  ,-3.56  ,-0.55  ,-0.64  ,-1.91
200209  ,-3.13  ,-3.44  ,-6.68  ,-3.45  ,-4.11  ,-7.05
200210  ,-8.03  ,-6.32  ,-8.29  ,-4.94  ,-7.19  ,-5.28
200211  ,-2.45  ,-1.41  ,-2.09   ,2.86   ,3.79   ,5.29
200212  ,-0.41   ,0.66  ,-0.61   ,0.04  ,-1.00  ,-5.09
200301   ,1.56  ,-0.35  ,-0.05  ,-2.53  ,-3.69  ,-4.81
200302   ,7.18   ,6.22   ,2.99   ,3.56   ,0.98  ,-0.10
200303   ,1.13   ,0.77  ,-0.43  ,-2.86  ,-3.14  ,-3.57
200304   ,5.04   ,3.00   ,4.92   ,4.58   ,0.18  ,-1.08
200305   ,5.73   ,5.54   ,6.60   ,3.20   ,3.58   ,5.97
200306  ,10.08   ,5.47   ,7.84   ,7.26   ,7.21   ,6.66
200307   ,2.20   ,1.15   ,3.53   ,5.79   ,3.12   ,1.90
200308  ,11.49   ,8.04   ,7.18  ,12.23   ,8.45   ,8.36
200309   ,8.40   ,8.38  ,11.08   ,5.01   ,5.51   ,8.31
200310   ,6.35   ,3.35  ,10.94   ,7.07   ,1.69   ,3.04
200311  ,-8.05  ,-5.32  ,-7.14  ,-4.94  ,-3.06  ,-2.54
200312   ,5.31   ,6.29   ,4.64   ,7.12   ,5.98   ,6.21
200401   ,7.90   ,5.33   ,6.94   ,2.84   ,0.29   ,2.79
200402  ,-0.71   ,0.97  ,-0.04  ,-2.66  ,-0.61   ,2.53
200403  ,22.43  ,19.90  ,24.66  ,14.86  ,12.26  ,13.17
200404  ,-0.19   ,0.19   ,4.01  ,-4.63  ,-6.09  ,-5.21
200405  ,-6.35  ,-4.10  ,-6.82  ,-3.29  ,-2.44  ,-2.07
200406   ,9.19   ,9.32  ,12.95   ,4.39   ,3.79   ,6.42
200407  ,-7.02  ,-4.77  ,-8.67  ,-8.54  ,-5.25  ,-6.14
200408   ,2.17   ,0.97   ,1.02  ,-0.00   ,1.41   ,1.24
200409  ,-2.58  ,-2.67  ,-5.23  ,-2.51  ,-2.57  ,-3.49
200410   ,3.60   ,2.13   ,1.56   ,2.46   ,2.37   ,2.55
200411   ,3.80   ,2.37   ,3.58   ,5.17   ,4.31   ,2.25
200412   ,4.55   ,4.69   ,4.73   ,4.39   ,5.14   ,5.85
200501   ,5.52   ,4.41   ,4.98  ,-0.60  ,-1.33  ,-2.63
200502   ,4.63   ,4.54   ,2.72   ,2.54   ,1.70   ,0.59
200503   ,1.20   ,1.70   ,0.32  ,-1.37  ,-1.06  ,-2.00
200504  ,-0.82   ,0.22   ,1.62  ,-2.17  ,-1.85  ,-2.87
200505  ,-4.43  ,-3.57  ,-4.45  ,-2.30  ,-2.03  ,-2.27
200506   ,2.49   ,2.02   ,2.74   ,1.63   ,0.83   ,0.40
