Date,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
200008   ,8.60   ,6.79   ,6.01   ,5.83   ,7.25   ,9.41
200009  ,-1.77  ,-0.77  ,-8.40  ,-0.96  ,-1.94 ,-12.08
200010  ,-3.25  ,-2.93 ,-12.19   ,1.35  ,-0.92  ,-6.02
200011  ,-6.85  ,-6.14 ,-19.34  ,-3.18  ,-7.08 ,-19.42
200012   ,7.83   ,9.50   ,3.85   ,5.48   ,3.68  ,-6.82
200101   ,3.69   ,4.10  ,14.62   ,0.92   ,1.07  ,11.51
200102  ,-3.57  ,-3.61 ,-13.49  ,-2.94  ,-8.20 ,-19.23
200103  ,-3.05  ,-3.44 ,-10.21  ,-3.25  ,-6.73 ,-12.56
200104   ,6.78   ,6.57  ,11.61   ,6.13   ,6.67  ,14.22
200105   ,4.42   ,3.92   ,4.98   ,2.51   ,0.90  ,-1.50
200106   ,1.05   ,3.72   ,3.08  ,-2.90  ,-2.38  ,-0.85
200107  ,-2.94  ,-1.24 ,-11.44  ,-1.02   ,0.16  ,-4.36
200108  ,-0.62  ,-2.69  ,-8.79  ,-2.93  ,-4.84 ,-11.13
200109 ,-13.01 ,-11.65 ,-18.54  ,-6.52  ,-7.06 ,-12.83
200110   ,4.79   ,4.84  ,12.49   ,1.10   ,0.43   ,6.40
200111   ,6.94   ,6.95  ,10.31   ,5.83   ,7.75  ,10.15
200112   ,5.86   ,6.86   ,7.24   ,2.71   ,1.76  ,-0.70
200201   ,1.41   ,0.20  ,-4.54  ,-0.76  ,-1.37  ,-2.40
200202  ,-0.17  ,-0.41  ,-8.22   ,0.66  ,-1.16  ,-6.19
200203   ,8.70   ,7.32   ,8.40   ,4.31   ,3.53   ,4.53
200204   ,2.26   ,3.68  ,-5.09  ,-3.30  ,-4.86  ,-9.72
200205  ,-1.41  ,-2.14  ,-6.08   ,1.01  ,-0.48  ,-3.36
200206  ,-4.03  ,-3.61  ,-8.70  ,-5.66  ,-8.80  ,-6.96
200207 ,-15.23 ,-11.35 ,-14.76  ,-9.45  ,-6.04  ,-8.51
200208  ,-0.19   ,0.21   ,0.74  ,-0.00   ,0.87   ,1.36
200209  ,-8.60  ,-6.17  ,-7.08 ,-11.41 ,-10.12  ,-9.39
200210   ,3.92   ,2.92   ,4.12   ,8.28   ,8.07   ,8.03
200211  ,10.99   ,6.35   ,8.67   ,9.28   ,5.22   ,3.36
200212  ,-5.88  ,-3.45  ,-4.78  ,-6.97  ,-5.06  ,-4.64
200301  ,-1.54  ,-1.11  ,-2.00  ,-1.88  ,-2.94  ,-2.16
200302  ,-3.04  ,-2.38  ,-2.21  ,-1.96  ,-1.80  ,-0.55
200303   ,1.13   ,1.46  ,-0.21  ,-0.40   ,1.35   ,1.49
200304  ,10.20   ,9.33   ,9.20   ,8.32   ,7.86   ,8.25
200305  ,12.40   ,8.77  ,11.62   ,8.72   ,3.94   ,6.92
200306   ,2.39   ,2.84   ,3.08   ,1.00   ,1.49   ,1.91
200307   ,7.25   ,5.19   ,5.59   ,1.99   ,1.85   ,1.59
200308   ,6.14   ,4.09   ,5.68   ,4.33   ,2.08   ,0.92
200309   ,0.26  ,-0.87  ,-1.62  ,-2.72  ,-0.45  ,-0.55
200310   ,9.58   ,8.29   ,8.96   ,8.06   ,5.32   ,4.68
200311   ,4.07   ,3.97   ,3.12   ,1.80   ,1.48   ,0.55
200312   ,3.73   ,2.12   ,2.18   ,5.31   ,4.54   ,4.88
200401   ,6.75   ,2.82   ,2.43   ,2.03   ,1.49   ,2.43
200402   ,0.27   ,2.06   ,1.91   ,0.78   ,2.23   ,1.33
200403   ,0.25   ,1.05   ,1.27  ,-2.04  ,-0.84  ,-1.49
200404  ,-5.48  ,-3.18  ,-4.27  ,-2.54  ,-2.14  ,-0.76
200405   ,1.42   ,1.19   ,1.42   ,1.96   ,1.02   ,1.27
200406   ,3.88   ,3.99   ,3.78   ,2.22   ,1.71   ,1.96
200407  ,-7.09  ,-4.65  ,-6.64  ,-4.31  ,-2.77  ,-3.93
200408  ,-1.23  ,-0.27  ,-0.89  ,-0.45   ,0.57   ,0.23
200409   ,4.76   ,5.12   ,6.95   ,1.78   ,1.37   ,2.76
200410   ,2.10   ,2.21   ,2.38   ,3.32   ,1.45   ,0.82
200411   ,8.48   ,8.62   ,8.96   ,4.17   ,4.10   ,5.02
200412   ,3.98   ,2.76   ,3.08   ,3.52   ,3.53   ,3.37
200501  ,-3.76  ,-2.94  ,-3.14  ,-3.51  ,-1.45  ,-3.34
200502   ,2.74   ,2.14   ,2.61   ,1.77   ,3.06   ,1.30
200503  ,-2.63  ,-1.94  ,-3.47  ,-0.12  ,-1.65  ,-1.76
200504  ,-6.80  ,-5.78  ,-6.12  ,-2.47  ,-2.46  ,-1.71
200505   ,6.09   ,5.69   ,5.62   ,3.67   ,2.82   ,4.82
200506   ,4.08   ,3.61   ,4.85   ,1.20   ,0.48   ,1.11
200507   ,6.37   ,6.38   ,7.07   ,3.57   ,3.74   ,4.94
200508  ,-0.31  ,-0.55  ,-0.64  ,-0.96  ,-0.14  ,-0.40
200509   ,1.41   ,0.74   ,2.03   ,0.54   ,0.57   ,2.88
200510  ,-4.04  ,-2.46  ,-4.85  ,-2.51  ,-2.20  ,-1.29
200511   ,4.59   ,4.78   ,5.71   ,3.98   ,3.76   ,4.77
200512   ,1.37  ,-0.01   ,0.60   ,0.25   ,0.15   ,1.07
