Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
200207  ,-8.32  ,-7.97  ,-8.32 ,-13.09 ,-10.40 ,-10.07
200208  ,-1.97  ,-1.47  ,-0.13   ,0.28   ,0.86  ,-0.04
200209 ,-11.63  ,-9.72  ,-9.79 ,-20.35 ,-13.57  ,-9.36
200210   ,3.30   ,1.13   ,2.68  ,16.25   ,8.63   ,7.04
200211   ,5.33   ,4.72   ,3.70  ,10.29   ,5.71   ,1.90
200212   ,1.12   ,1.54   ,1.02  ,-5.93  ,-3.48  ,-1.32
200301  ,-0.96  ,-0.42  ,-1.40  ,-2.48  ,-3.98  ,-3.82
200302  ,-2.74  ,-2.84  ,-2.14  ,-3.52  ,-2.82  ,-3.71
200303  ,-1.19  ,-0.51  ,-0.07  ,-2.99  ,-1.01  ,-0.90
200304  ,11.67  ,11.50  ,10.76  ,17.52  ,13.75  ,11.06
200305  ,11.44   ,9.43  ,10.67   ,8.60   ,7.28   ,6.76
200306   ,2.86   ,3.38   ,2.69  ,-0.42   ,1.78   ,1.13
200307   ,3.44   ,2.89   ,3.20   ,5.93   ,1.99  ,-0.97
200308   ,3.63   ,2.71   ,3.15  ,-1.29  ,-0.33   ,1.14
200309   ,5.16   ,5.25   ,6.04   ,2.52   ,3.00   ,2.40
200310   ,6.28   ,6.12   ,4.94   ,9.51   ,5.84   ,5.06
200311   ,4.65   ,5.03   ,4.50   ,4.53   ,4.67   ,4.50
200312   ,5.48   ,6.33   ,5.31   ,6.78   ,7.74   ,7.83
200401   ,6.74   ,6.05   ,5.45   ,3.86   ,1.58   ,1.64
200402   ,3.66   ,4.26   ,4.82   ,2.65   ,3.23   ,3.17
200403  ,-3.15  ,-2.35  ,-1.73  ,-4.68  ,-2.56  ,-3.32
200404  ,-2.66  ,-1.02  ,-1.17  ,-1.16  ,-0.67  ,-1.34
200405   ,0.35   ,0.46   ,0.68   ,0.80   ,1.49   ,2.21
