Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
199811   ,7.27   ,4.95   ,6.42   ,4.42   ,3.63   ,3.37
199812   ,0.07   ,3.73   ,4.04  ,-1.94   ,5.95   ,3.97
199901   ,0.22   ,0.29   ,1.08   ,4.85  ,-0.88   ,1.02
199902  ,-1.03  ,-1.46   ,3.21  ,-2.28  ,-3.34  ,-1.80
199903  ,15.72  ,12.28  ,16.34  ,15.30  ,12.55  ,14.37
199904  ,12.78   ,8.15  ,11.02   ,5.71   ,2.75   ,5.01
199905  ,-6.23  ,-4.98  ,-5.12  ,-7.47  ,-4.42  ,-3.50
199906  ,13.72  ,14.56  ,26.35   ,7.14   ,9.96  ,12.09
199907   ,8.26   ,6.43   ,6.23  ,10.35   ,9.79  ,11.55
199908   ,2.68   ,4.64   ,6.39   ,8.35  ,-0.26   ,2.99
199909   ,1.58   ,4.82   ,4.70   ,7.46   ,6.16   ,8.86
199910  ,-1.30  ,-0.53   ,0.37   ,6.49   ,6.14   ,8.66
199911  ,-4.29  ,-0.25  ,-2.61  ,-0.72   ,7.22  ,14.71
199912  ,-6.67  ,-5.69  ,-7.17  ,-3.73   ,9.84   ,5.74
200001  ,-0.35  ,-2.14  ,-0.06  ,-0.12  ,-5.18  ,-7.43
200002  ,-2.01  ,-2.81   ,1.79  ,-1.26  ,-2.54  ,-0.30
200003  ,10.98   ,8.67   ,7.71   ,4.99   ,6.25   ,6.99
200004 ,-12.43  ,-9.57 ,-10.15 ,-10.88  ,-7.08  ,-8.30
200005   ,1.95   ,1.01   ,0.09  ,-5.75  ,-4.37 ,-10.97
200006  ,12.63   ,9.70   ,9.66   ,3.10   ,7.43   ,6.01
200007 ,-10.82  ,-9.76 ,-12.81 ,-15.55 ,-10.44 ,-11.14
200008   ,7.51   ,6.94   ,5.92  ,15.60   ,5.50   ,4.09
200009  ,-4.84  ,-4.13  ,-5.36  ,-4.60  ,-3.70  ,-4.53
200010  ,-9.73  ,-8.27 ,-10.40  ,-6.17  ,-4.71  ,-8.72
200011   ,1.60   ,0.40  ,-1.06  ,-5.80  ,-3.06  ,-1.29
200012  ,-8.03  ,-7.32  ,-8.20  ,-6.72  ,-7.27 ,-12.92
200101  ,-1.24  ,-0.78   ,0.62   ,0.02  ,-2.00   ,1.39
200102   ,1.18  ,-0.03   ,3.30  ,-1.77  ,-6.28  ,-7.60
200103  ,-2.51  ,-3.51  ,-2.98  ,-7.68  ,-2.76  ,-2.95
200104  ,11.28  ,11.90   ,9.91  ,11.51   ,6.57   ,9.87
200105   ,1.39   ,2.06   ,4.79  ,-0.65   ,2.22  ,-1.92
200106  ,-1.16  ,-1.73  ,-3.16  ,-2.53  ,-4.89  ,-7.31
200107  ,-7.24  ,-7.36  ,-8.11  ,-7.37  ,-8.72  ,-8.87
200108   ,2.69   ,1.80   ,0.83   ,2.19  ,-4.43  ,-4.22
200109  ,-7.81  ,-7.83 ,-10.58 ,-10.75  ,-8.83  ,-4.26
200110   ,1.68   ,2.95   ,4.92   ,0.62   ,2.45   ,0.41
200111  ,-5.47  ,-5.19  ,-4.75  ,-4.17   ,2.96  ,-3.06
200112 ,-10.83  ,-9.89 ,-10.92  ,-7.83  ,-5.73  ,-9.24
200201  ,-5.01  ,-5.96  ,-4.18  ,-7.12  ,-7.67  ,-8.44
200202   ,7.88   ,6.30   ,4.90   ,5.69   ,5.94   ,3.63
200203   ,2.83   ,4.28   ,5.15   ,4.23   ,4.29   ,8.40
200204   ,5.03   ,5.83   ,7.15   ,6.06   ,6.02   ,4.54
200205   ,8.99   ,9.54   ,9.83   ,9.37   ,5.58   ,7.24
200206  ,-2.75  ,-2.45  ,-2.30  ,-5.01  ,-4.50  ,-5.14
200207  ,-1.76  ,-1.66  ,-2.33  ,-6.17  ,-7.38  ,-5.49
200208  ,-1.61  ,-1.55  ,-2.31  ,-0.67  ,-1.12  ,-1.62
200209  ,-3.77  ,-4.14  ,-4.90  ,-1.44  ,-3.92  ,-8.08
200210  ,-7.25  ,-7.30  ,-8.60  ,-9.11  ,-6.09  ,-4.76
200211  ,-1.56  ,-1.60  ,-3.65   ,0.58   ,4.51   ,5.03
200212  ,-0.20   ,0.27  ,-0.69  ,-2.70  ,-1.91  ,-3.16
200301   ,0.49   ,0.18   ,0.99  ,-3.40  ,-4.80  ,-2.92
200302   ,6.70   ,5.60   ,3.88   ,0.46   ,0.40   ,2.24
200303   ,1.31   ,0.10   ,0.42  ,-3.43  ,-3.69  ,-2.48
200304   ,2.97   ,5.06   ,5.64  ,-1.24  ,-0.93   ,3.66
200305   ,6.26   ,4.77   ,7.21   ,4.02   ,5.19   ,3.73
200306   ,8.65   ,6.48   ,9.46   ,8.42   ,6.69   ,6.69
200307   ,1.92   ,2.45   ,2.35   ,5.99   ,3.15   ,2.48
200308   ,9.34   ,8.36  ,10.44  ,12.41  ,10.00   ,7.52
200309   ,7.87   ,8.18  ,12.18   ,9.73   ,5.64   ,6.01
200310   ,5.49   ,5.87  ,10.60   ,6.78   ,4.11   ,1.20
200311  ,-6.74  ,-6.45  ,-8.55  ,-4.75  ,-2.86  ,-3.03
200312   ,5.52   ,5.17   ,5.78   ,7.33   ,6.92   ,5.33
200401   ,7.42   ,5.87   ,7.10  ,-0.28   ,2.98   ,1.53
200402   ,0.09   ,0.09  ,-0.73  ,-0.76   ,0.43  ,-0.05
200403  ,22.14  ,19.65  ,25.95  ,18.40  ,12.06  ,12.20
200404  ,-0.86   ,0.90   ,5.32  ,-6.80  ,-4.88  ,-4.91
200405  ,-4.92  ,-5.22  ,-7.80  ,-3.84  ,-1.85  ,-2.84
200406   ,9.03   ,9.85  ,13.66   ,3.97   ,4.92   ,5.13
200407  ,-6.39  ,-6.08  ,-9.34  ,-7.82  ,-5.84  ,-6.12
200408   ,1.34   ,0.95   ,2.44   ,1.42   ,0.33   ,1.56
200409  ,-2.94  ,-3.64  ,-4.70  ,-3.57  ,-2.31  ,-2.98
200410   ,2.73   ,2.22   ,1.75   ,3.43   ,2.46   ,1.87
200411   ,4.22   ,2.51   ,2.41   ,6.72   ,3.67   ,2.47
200412   ,4.84   ,4.84   ,3.34   ,6.28   ,5.56   ,3.98
200501   ,5.03   ,4.63   ,5.70  ,-2.21  ,-1.59  ,-1.66
200502   ,4.51   ,4.04   ,2.92   ,1.40   ,1.34   ,2.21
200503   ,1.25   ,1.14   ,0.10  ,-0.84  ,-1.78  ,-1.71
200504   ,0.08   ,0.03   ,1.94  ,-2.54  ,-1.55  ,-2.63
200505  ,-4.82  ,-4.12  ,-3.07  ,-1.79  ,-2.16  ,-2.33
200506   ,2.78   ,2.00   ,2.62   ,0.43   ,0.87   ,0.99
200507   ,2.35   ,1.90   ,2.07   ,0.83   ,0.54   ,1.03
200508   ,3.76   ,2.49   ,3.14   ,7.89   ,6.92   ,7.09
200509   ,2.86   ,3.24   ,0.60   ,8.27   ,8.86   ,8.90
200510   ,1.62   ,2.01   ,2.94   ,3.22  ,-0.85  ,-1.63
200511   ,2.43   ,3.50   ,1.65   ,2.61   ,3.97   ,3.00
200512  ,11.93  ,13.10  ,13.65  ,10.28   ,8.80   ,9.05
200601   ,3.90   ,4.79   ,3.26   ,3.99   ,4.90   ,3.14
200602  ,-6.79  ,-5.38  ,-6.96  ,-1.80  ,-1.98  ,-1.43
200603   ,2.95   ,3.44   ,2.72   ,3.22   ,4.38   ,1.92
200604   ,0.98   ,2.14   ,1.00   ,1.12   ,3.08   ,3.15
200605  ,-8.23  ,-8.31  ,-9.89  ,-7.79  ,-7.45  ,-5.44
200606  ,-3.43  ,-2.78  ,-2.95  ,-0.92  ,-1.49  ,-1.27
200607  ,-5.74  ,-7.03  ,-8.69  ,-1.82  ,-0.77  ,-1.55
200608   ,1.06   ,2.38   ,3.51   ,1.68   ,1.59   ,1.91
200609  ,-2.70  ,-2.32  ,-3.38  ,-1.51  ,-1.11  ,-1.61
200610  ,-0.73  ,-0.82  ,-0.71   ,0.46   ,2.93   ,1.47
200611  ,-1.51  ,-1.39  ,-2.54  ,-1.02   ,0.40   ,0.65
200612  ,-0.68   ,0.30   ,0.35   ,1.36   ,2.76   ,2.05
200701   ,1.29   ,1.73   ,0.84   ,3.76  ,-0.37   ,0.90
200702   ,3.41   ,2.70   ,2.30   ,4.84   ,2.80   ,4.63
200703  ,-0.55   ,0.17  ,-2.55   ,1.01  ,-2.35  ,-1.30
200704  ,-2.32  ,-3.25  ,-4.47  ,-1.17  ,-2.03  ,-2.71
200705  ,-2.93  ,-2.59  ,-1.18   ,1.76   ,1.00   ,0.67
200706   ,2.40   ,1.88   ,3.25  ,-1.13   ,0.93  ,-0.86
200707   ,1.42   ,0.60  ,-1.13   ,2.14   ,0.19  ,-1.58
200708  ,-4.98  ,-5.54  ,-7.63  ,-3.77  ,-3.74  ,-1.77
